cycle,0,name,parent.name,is_main_stem,can_split,is_branch,energy,level,length,width,base.x,base.y,base.z,end.x,end.y,end.z
34,2,stem0,plant_seed0,true,true,false,10.200000000000003,1.0,0.4110003349251573,0.05854705625714492,50.0,50.0,0.0,50.0,50.0,0.4110003349251573
35,2,stem0,plant_seed0,true,true,false,10.500000000000004,1.0,0.42302523100008366,0.06026000441596632,50.0,50.0,0.0,50.0,50.0,0.42302523100008366
36,2,stem0,plant_seed0,true,true,false,10.800000000000004,1.0,0.4350465201472475,0.06197243876741416,50.0,50.0,0.0,50.0,50.0,0.4350465201472475
37,2,stem0,plant_seed0,true,true,false,11.100000000000005,1.0,0.4470642034485779,0.06368435946560938,50.0,50.0,0.0,50.0,50.0,0.4470642034485779
38,2,stem0,plant_seed0,true,true,false,11.400000000000006,1.0,0.4590782819856577,0.0653957666646236,50.0,50.0,0.0,50.0,50.0,0.4590782819856577
39,2,stem0,plant_seed0,true,true,false,11.700000000000006,1.0,0.471088756839755,0.0671066605184836,50.0,50.0,0.0,50.0,50.0,0.471088756839755
40,2,stem0,plant_seed0,true,true,false,12.000000000000007,1.0,0.4830956290918141,0.06881704118117009,50.0,50.0,0.0,50.0,50.0,0.4830956290918141
41,2,stem0,plant_seed0,true,true,false,12.300000000000008,1.0,0.4950988998224511,0.07052690880661695,50.0,50.0,0.0,50.0,50.0,0.4950988998224511
42,2,stem0,plant_seed0,true,true,false,12.600000000000009,1.0,0.5070985701119628,0.07223626354871264,50.0,50.0,0.0,50.0,50.0,0.5070985701119628
43,2,stem0,plant_seed0,true,true,false,12.90000000000001,1.0,0.5190946410403224,0.07394510556129949,50.0,50.0,0.0,50.0,50.0,0.5190946410403224
44,2,stem0,plant_seed0,true,true,false,13.20000000000001,1.0,0.5310871136871703,0.0756534349981724,50.0,50.0,0.0,50.0,50.0,0.5310871136871703
45,2,stem0,plant_seed0,true,true,false,13.50000000000001,1.0,0.5430759891318276,0.07736125201308086,50.0,50.0,0.0,50.0,50.0,0.5430759891318276
46,2,stem0,plant_seed0,true,true,false,13.800000000000011,1.0,0.5550612684533006,0.07906855675972943,50.0,50.0,0.0,50.0,50.0,0.5550612684533006
47,2,stem0,plant_seed0,true,true,false,14.100000000000012,1.0,0.5670429527302631,0.08077534939177536,50.0,50.0,0.0,50.0,50.0,0.5670429527302631
48,2,stem0,plant_seed0,true,true,false,14.400000000000013,1.0,0.5790210430410604,0.08248163006282912,50.0,50.0,0.0,50.0,50.0,0.5790210430410604
49,2,stem0,plant_seed0,true,true,false,14.700000000000014,1.0,0.5909955404637276,0.08418739892645692,50.0,50.0,0.0,50.0,50.0,0.5909955404637276
50,2,stem0,plant_seed0,true,true,false,15.000000000000014,1.0,0.6029664460759628,0.08589265613617704,50.0,50.0,0.0,50.0,50.0,0.6029664460759628
51,2,stem0,plant_seed0,true,true,false,15.300000000000015,1.0,0.6149337609551536,0.08759740184546348,50.0,50.0,0.0,50.0,50.0,0.6149337609551536
52,2,stem0,plant_seed0,true,true,false,15.600000000000016,1.0,0.6268974861783548,0.08930163620774285,50.0,50.0,0.0,50.0,50.0,0.6268974861783548
53,2,stem0,plant_seed0,true,true,false,15.900000000000016,1.0,0.6388576228223025,0.09100535937639637,50.0,50.0,0.0,50.0,50.0,0.6388576228223025
54,2,stem0,plant_seed0,true,true,false,16.200000000000017,1.0,0.6508141719634127,0.09270857150475965,50.0,50.0,0.0,50.0,50.0,0.6508141719634127
55,2,stem0,plant_seed0,true,true,false,16.500000000000018,1.0,0.6627671346777694,0.09441127274612099,50.0,50.0,0.0,50.0,50.0,0.6627671346777694
56,2,stem0,plant_seed0,true,true,false,16.80000000000002,1.0,0.6747165120411415,0.09611346325372386,50.0,50.0,0.0,50.0,50.0,0.6747165120411415
57,2,stem0,plant_seed0,true,true,false,17.10000000000002,1.0,0.6866623051289698,0.09781514318076492,50.0,50.0,0.0,50.0,50.0,0.6866623051289698
58,2,stem0,plant_seed0,true,true,false,17.40000000000002,1.0,0.6986045150163845,0.09951631268039665,50.0,50.0,0.0,50.0,50.0,0.6986045150163845
59,2,stem0,plant_seed0,true,true,false,17.70000000000002,1.0,0.7105431427781749,0.10121697190572292,50.0,50.0,0.0,50.0,50.0,0.7105431427781749
60,2,stem0,plant_seed0,true,true,false,18.00000000000002,1.0,0.7224781894888234,0.1029171210098039,50.0,50.0,0.0,50.0,50.0,0.7224781894888234
61,2,stem0,plant_seed0,true,true,false,18.300000000000022,1.0,0.7344096562224807,0.10461676014565252,50.0,50.0,0.0,50.0,50.0,0.7344096562224807
62,2,stem0,plant_seed0,true,true,false,18.600000000000023,1.0,0.7463375440529776,0.10631588946623613,50.0,50.0,0.0,50.0,50.0,0.7463375440529776
63,2,stem0,plant_seed0,true,true,false,18.900000000000023,1.0,0.7582618540538305,0.10801450912447728,50.0,50.0,0.0,50.0,50.0,0.7582618540538305
64,2,stem0,plant_seed0,true,true,false,19.200000000000024,1.0,0.7701825872982228,0.1097126192732511,50.0,50.0,0.0,50.0,50.0,0.7701825872982228
65,2,stem0,plant_seed0,true,true,false,19.500000000000025,1.0,0.7820997448590189,0.11141022006538731,50.0,50.0,0.0,50.0,50.0,0.7820997448590189
66,2,stem0,plant_seed0,true,true,false,19.800000000000026,1.0,0.7940133278087684,0.11310731165367072,50.0,50.0,0.0,50.0,50.0,0.7940133278087684
67,2,stem0,plant_seed0,true,true,false,20.100000000000026,1.0,0.805923337219688,0.11480389419083875,50.0,50.0,0.0,50.0,50.0,0.805923337219688
68,2,stem0,plant_seed0,true,true,false,20.400000000000027,1.0,0.8178297741636844,0.11649996782958467,50.0,50.0,0.0,50.0,50.0,0.8178297741636844
69,2,stem0,plant_seed0,true,true,false,20.700000000000028,1.0,0.8297326397123315,0.11819553272255433,50.0,50.0,0.0,50.0,50.0,0.8297326397123315
70,2,stem0,plant_seed0,true,true,false,21.00000000000003,1.0,0.8416319349368878,0.1198905890223487,50.0,50.0,0.0,50.0,50.0,0.8416319349368878
71,2,stem0,plant_seed0,true,true,false,21.30000000000003,1.0,0.8535276609082939,0.12158513688152334,50.0,50.0,0.0,50.0,50.0,0.8535276609082939
72,2,stem0,plant_seed0,true,true,false,21.60000000000003,1.0,0.8654198186971608,0.123279176452587,50.0,50.0,0.0,50.0,50.0,0.8654198186971608
73,2,stem0,plant_seed0,true,true,false,21.90000000000003,1.0,0.877308409373786,0.12497270788800369,50.0,50.0,0.0,50.0,50.0,0.877308409373786
74,2,stem0,plant_seed0,true,true,false,22.20000000000003,1.0,0.8891934340081419,0.12666573134019113,50.0,50.0,0.0,50.0,50.0,0.8891934340081419
75,2,stem0,plant_seed0,true,true,false,22.500000000000032,1.0,0.9010748936698783,0.1283582469615211,50.0,50.0,0.0,50.0,50.0,0.9010748936698783
76,2,stem0,plant_seed0,true,true,false,22.800000000000033,1.0,0.9129527894283296,0.13005025490432043,50.0,50.0,0.0,50.0,50.0,0.9129527894283296
77,2,stem0,plant_seed0,true,true,false,23.100000000000033,1.0,0.9248271223525069,0.1317417553208699,50.0,50.0,0.0,50.0,50.0,0.9248271223525069
78,2,stem0,plant_seed0,true,true,false,23.400000000000034,1.0,0.9366978935110928,0.13343274836340352,50.0,50.0,0.0,50.0,50.0,0.9366978935110928
79,2,stem0,plant_seed0,true,true,false,23.700000000000035,1.0,0.9485651039724685,0.13512323418411232,50.0,50.0,0.0,50.0,50.0,0.9485651039724685
80,2,stem0,plant_seed0,true,true,false,24.000000000000036,1.0,0.9604287548046737,0.13681321293513868,50.0,50.0,0.0,50.0,50.0,0.9604287548046737
81,2,stem0,plant_seed0,true,true,false,24.300000000000036,1.0,0.9722888470754425,0.13850268476858155,50.0,50.0,0.0,50.0,50.0,0.9722888470754425
82,2,stem0,plant_seed0,true,true,false,24.600000000000037,1.0,0.9841453818521805,0.14019164983649293,50.0,50.0,0.0,50.0,50.0,0.9841453818521805
83,2,stem0,plant_seed0,true,true,false,24.900000000000038,1.0,0.995998360201974,0.14188010829087946,50.0,50.0,0.0,50.0,50.0,0.995998360201974
84,2,stem0,plant_seed0,true,true,false,25.20000000000004,1.0,1.0078477831915946,0.14356806028370292,50.0,50.0,0.0,50.0,50.0,1.0078477831915946
85,2,stem0,plant_seed0,true,true,false,25.50000000000004,1.0,1.019693651887486,0.14525550596687833,50.0,50.0,0.0,50.0,50.0,1.019693651887486
86,2,stem0,plant_seed0,true,true,false,25.80000000000004,1.0,1.0315359673557858,0.14694244549227717,50.0,50.0,0.0,50.0,50.0,1.0315359673557858
87,2,stem0,plant_seed0,true,true,false,26.10000000000004,1.0,1.0433747306622898,0.14862887901172217,50.0,50.0,0.0,50.0,50.0,1.0433747306622898
88,2,stem0,plant_seed0,true,true,false,26.40000000000004,1.0,1.0552099428724973,0.1503148066769939,50.0,50.0,0.0,50.0,50.0,1.0552099428724973
89,2,stem0,plant_seed0,true,true,false,26.700000000000042,1.0,1.0670416050515703,0.15200022863982482,50.0,50.0,0.0,50.0,50.0,1.0670416050515703
90,2,stem0,plant_seed0,true,true,false,27.000000000000043,1.0,1.0788697182643603,0.15368514505190317,50.0,50.0,0.0,50.0,50.0,1.0788697182643603
91,2,stem0,plant_seed0,true,true,false,27.300000000000043,1.0,1.0906942835754,0.1553695560648718,50.0,50.0,0.0,50.0,50.0,1.0906942835754
92,2,stem0,plant_seed0,true,true,false,27.600000000000044,1.0,1.1025153020489025,0.15705346183032798,50.0,50.0,0.0,50.0,50.0,1.1025153020489025
93,2,stem0,plant_seed0,true,true,false,27.900000000000045,1.0,1.1143327747487484,0.1587368624998217,50.0,50.0,0.0,50.0,50.0,1.1143327747487484
94,2,stem0,plant_seed0,true,true,false,28.200000000000045,1.0,1.1261467027385212,0.16041975822486057,50.0,50.0,0.0,50.0,50.0,1.1261467027385212
95,2,stem0,plant_seed0,true,true,false,28.500000000000046,1.0,1.1379570870814721,0.16210214915690485,50.0,50.0,0.0,50.0,50.0,1.1379570870814721
96,2,stem0,plant_seed0,true,true,false,28.800000000000047,1.0,1.1497639288405328,0.16378403544736933,50.0,50.0,0.0,50.0,50.0,1.1497639288405328
97,2,stem0,plant_seed0,true,true,false,29.100000000000048,1.0,1.1615672290783203,0.16546541724762395,50.0,50.0,0.0,50.0,50.0,1.1615672290783203
98,2,stem0,plant_seed0,true,true,false,29.40000000000005,1.0,1.173366988857132,0.16714629470899317,50.0,50.0,0.0,50.0,50.0,1.173366988857132
99,2,stem0,plant_seed0,true,true,false,29.70000000000005,1.0,1.1851632092389426,0.16882666798275534,50.0,50.0,0.0,50.0,50.0,1.1851632092389426
100,2,stem0,plant_seed0,true,true,false,30.00000000000005,1.0,1.19695589128542,0.17050653722014528,50.0,50.0,0.0,50.0,50.0,1.19695589128542
101,2,stem0,plant_seed0,true,true,false,30.30000000000005,1.0,1.2087450360578993,0.1721859025723503,50.0,50.0,0.0,50.0,50.0,1.2087450360578993
102,2,stem0,plant_seed0,true,true,false,30.60000000000005,1.0,1.2205306446174065,0.17386476419051372,50.0,50.0,0.0,50.0,50.0,1.2205306446174065
103,2,stem0,plant_seed0,true,true,false,30.900000000000052,1.0,1.232312718024647,0.17554312222573318,50.0,50.0,0.0,50.0,50.0,1.232312718024647
104,2,stem0,plant_seed0,true,true,false,31.200000000000053,1.0,1.2440912573400036,0.17722097682906032,50.0,50.0,0.0,50.0,50.0,1.2440912573400036
105,2,stem0,plant_seed0,true,true,false,31.500000000000053,1.0,1.2558662636235434,0.1788983281515019,50.0,50.0,0.0,50.0,50.0,1.2558662636235434
106,2,stem0,plant_seed0,true,true,false,31.800000000000054,1.0,1.2676377379350239,0.18057517634402048,50.0,50.0,0.0,50.0,50.0,1.2676377379350239
107,2,stem0,plant_seed0,true,true,false,32.10000000000005,1.0,1.2794056813338743,0.18225152155753194,50.0,50.0,0.0,50.0,50.0,1.2794056813338743
108,2,stem0,plant_seed0,true,true,false,32.40000000000005,1.0,1.2911700948792086,0.1839273639429072,50.0,50.0,0.0,50.0,50.0,1.2911700948792086
109,2,stem0,plant_seed0,true,true,false,32.700000000000045,1.0,1.3029309796298265,0.18560270365097242,50.0,50.0,0.0,50.0,50.0,1.3029309796298265
110,2,stem0,plant_seed0,true,true,false,33.00000000000004,1.0,1.3146883366442037,0.18727754083250764,50.0,50.0,0.0,50.0,50.0,1.3146883366442037
111,2,stem0,plant_seed0,true,true,false,33.30000000000004,1.0,1.3264421669805058,0.1889518756382487,50.0,50.0,0.0,50.0,50.0,1.3264421669805058
112,2,stem0,plant_seed0,true,true,false,33.60000000000004,1.0,1.3381924716965792,0.19062570821888591,50.0,50.0,0.0,50.0,50.0,1.3381924716965792
113,2,stem0,plant_seed0,true,true,false,33.900000000000034,1.0,1.3499392518499465,0.19229903872506357,50.0,50.0,0.0,50.0,50.0,1.3499392518499465
114,2,stem0,plant_seed0,true,true,false,34.20000000000003,1.0,1.36168250849782,0.19397186730738175,50.0,50.0,0.0,50.0,50.0,1.36168250849782
115,2,stem0,plant_seed0,true,true,false,34.50000000000003,1.0,1.3734222426970923,0.19564419411639491,50.0,50.0,0.0,50.0,50.0,1.3734222426970923
