cycle,hour,int(cycle / 24),r_l,FC,n_L,shadow_loss,prevState'N_L',currentState'N_L',prev_value,value,pl_total,chg,length(leaf_proportion),sum(leaf_proportion),leaf_proportion
29,5,1,0.0063,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08907205419633873,0.08925019830473141,0.00278589582285835,-0.00296403993125103,1,0.37988999999999995,[0.37988999999999995]
30,6,1,0.0063,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08907205419633873,0.08925019830473141,0.00278589582285835,-0.00296403993125103,1,0.4438349999999999,[0.4438349999999999]
31,7,1,0.0063,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08907205419633873,0.08925019830473141,0.00278589582285835,-0.00296403993125103,1,0.5077799999999999,[0.5077799999999999]
32,8,1,0.0063,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08907205419633873,0.08925019830473141,0.00278589582285835,-0.00296403993125103,1,0.5717249999999999,[0.5717249999999999]
33,9,1,0.0063,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08907205419633873,0.08925019830473141,0.00278589582285835,-0.00296403993125103,1,0.63567,[0.63567]
34,10,1,0.0063,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08907205419633873,0.08925019830473141,0.00278589582285835,-0.00296403993125103,1,0.699615,[0.699615]
35,11,1,0.0063,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08907205419633873,0.08925019830473141,0.00278589582285835,-0.00296403993125103,1,0.76356,[0.76356]
36,12,1,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.1343150023595584,0.13458363236427753,0.00278589582285835,-0.00305452582757749,1,0.859985,[0.859985]
37,13,1,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.1343150023595584,0.13458363236427753,0.00278589582285835,-0.00305452582757749,1,0.95641,[0.95641]
38,14,1,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.1343150023595584,0.13458363236427753,0.00278589582285835,-0.00305452582757749,1,1.052835,[1.052835]
39,15,1,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.1343150023595584,0.13458363236427753,0.00278589582285835,-0.00305452582757749,1,1.14926,[1.14926]
40,16,1,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.1343150023595584,0.13458363236427753,0.00278589582285835,-0.00305452582757749,1,1.245685,[1.245685]
41,17,1,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.1343150023595584,0.13458363236427753,0.00278589582285835,-0.00305452582757749,1,1.34211,[1.34211]
42,18,1,0.0095,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.1343150023595584,0.13458363236427753,0.00278589582285835,-0.00305452582757749,1,1.438535,[1.438535]
43,19,1,0.0063,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08907205419633873,0.08925019830473141,0.00278589582285835,-0.00296403993125103,1,1.5024799999999998,[1.5024799999999998]
44,20,1,0.0063,1.015,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08907205419633873,0.08925019830473141,0.00278589582285835,-0.00296403993125103,1,1.5664249999999997,[1.5664249999999997]
45,21,1,0.0063,1.0,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08775571842003818,0.08793122985687825,0.00278589582285835,-0.00296140725969842,1,1.6294249999999997,[1.6294249999999997]
46,22,1,0.0063,1.0,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08775571842003818,0.08793122985687825,0.00278589582285835,-0.00296140725969842,1,1.6924249999999996,[1.6924249999999996]
47,23,1,0.0063,1.0,10.0,0.09642499999999998,1.3929479114291774,1.3957338072520358,0.08775571842003818,0.08793122985687825,0.00278589582285835,-0.00296140725969842,1,1.7554249999999996,[1.7554249999999996]
48,0,2,0.0063,1.0,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08793122985687825,0.08811779851423926,0.00278589582285835,-0.00297246448021937,1,0.063,[0.063]
49,1,2,0.0063,1.0,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08793122985687825,0.08811779851423926,0.00278589582285835,-0.00297246448021937,1,0.126,[0.126]
50,2,2,0.0063,1.0,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08793122985687825,0.08811779851423926,0.00278589582285835,-0.00297246448021937,1,0.189,[0.189]
51,3,2,0.0063,1.0,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08793122985687825,0.08811779851423926,0.00278589582285835,-0.00297246448021937,1,0.252,[0.252]
52,4,2,0.0063,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08925019830473141,0.08943956549195282,0.00278589582285835,-0.00297526301007977,1,0.315945,[0.315945]
53,5,2,0.0063,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08925019830473141,0.08943956549195282,0.00278589582285835,-0.00297526301007977,1,0.37988999999999995,[0.37988999999999995]
54,6,2,0.0063,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08925019830473141,0.08943956549195282,0.00278589582285835,-0.00297526301007977,1,0.4438349999999999,[0.4438349999999999]
55,7,2,0.0063,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08925019830473141,0.08943956549195282,0.00278589582285835,-0.00297526301007977,1,0.5077799999999999,[0.5077799999999999]
56,8,2,0.0063,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08925019830473141,0.08943956549195282,0.00278589582285835,-0.00297526301007977,1,0.5717249999999999,[0.5717249999999999]
57,9,2,0.0063,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08925019830473141,0.08943956549195282,0.00278589582285835,-0.00297526301007977,1,0.63567,[0.63567]
58,10,2,0.0063,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08925019830473141,0.08943956549195282,0.00278589582285835,-0.00297526301007977,1,0.699615,[0.699615]
59,11,2,0.0063,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08925019830473141,0.08943956549195282,0.00278589582285835,-0.00297526301007977,1,0.76356,[0.76356]
60,12,2,0.0095,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.13458363236427753,0.13486918605929393,0.00278589582285835,-0.00307144951787475,1,0.859985,[0.859985]
61,13,2,0.0095,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.13458363236427753,0.13486918605929393,0.00278589582285835,-0.00307144951787475,1,0.95641,[0.95641]
62,14,2,0.0095,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.13458363236427753,0.13486918605929393,0.00278589582285835,-0.00307144951787475,1,1.052835,[1.052835]
63,15,2,0.0095,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.13458363236427753,0.13486918605929393,0.00278589582285835,-0.00307144951787475,1,1.14926,[1.14926]
64,16,2,0.0095,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.13458363236427753,0.13486918605929393,0.00278589582285835,-0.00307144951787475,1,1.245685,[1.245685]
65,17,2,0.0095,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.13458363236427753,0.13486918605929393,0.00278589582285835,-0.00307144951787475,1,1.34211,[1.34211]
66,18,2,0.0095,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.13458363236427753,0.13486918605929393,0.00278589582285835,-0.00307144951787475,1,1.438535,[1.438535]
67,19,2,0.0063,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08925019830473141,0.08943956549195282,0.00278589582285835,-0.00297526301007977,1,1.5024799999999998,[1.5024799999999998]
68,20,2,0.0063,1.015,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08925019830473141,0.08943956549195282,0.00278589582285835,-0.00297526301007977,1,1.5664249999999997,[1.5664249999999997]
69,21,2,0.0063,1.0,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08793122985687825,0.08811779851423926,0.00278589582285835,-0.00297246448021937,1,1.6294249999999997,[1.6294249999999997]
70,22,2,0.0063,1.0,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08793122985687825,0.08811779851423926,0.00278589582285835,-0.00297246448021937,1,1.6924249999999996,[1.6924249999999996]
71,23,2,0.0063,1.0,10.0,0.09642499999999998,1.3957338072520358,1.3986952145117342,0.08793122985687825,0.08811779851423926,0.00278589582285835,-0.00297246448021937,1,1.7554249999999996,[1.7554249999999996]
72,0,3,0.0063,1.0,10.0,0.09642499999999998,1.3986952145117342,1.4016676789919535,0.08811779851423926,0.08830506377649307,0.00278589582285835,-0.00297316108511216,1,0.063,[0.063]
73,1,3,0.0063,1.0,10.0,0.09642499999999998,1.3986952145117342,1.4016676789919535,0.08811779851423926,0.08830506377649307,0.00278589582285835,-0.00297316108511216,1,0.126,[0.126]
74,2,3,0.0063,1.0,10.0,0.09642499999999998,1.3986952145117342,1.4016676789919535,0.08811779851423926,0.08830506377649307,0.00278589582285835,-0.00297316108511216,1,0.189,[0.189]
75,3,3,0.0063,1.0,10.0,0.09642499999999998,1.3986952145117342,1.4016676789919535,0.08811779851423926,0.08830506377649307,0.00278589582285835,-0.00297316108511216,1,0.252,[0.252]
76,4,3,0.0063,1.015,10.0,0.09642499999999998,1.3986952145117342,1.4016676789919535,0.08943956549195282,0.08962963973314045,0.00278589582285835,-0.00297597006404598,1,0.315945,[0.315945]
77,5,3,0.0063,1.015,10.0,0.09642499999999998,1.3986952145117342,1.4016676789919535,0.08943956549195282,0.08962963973314045,0.00278589582285835,-0.00297597006404598,1,0.37988999999999995,[0.37988999999999995]
78,6,3,0.0063,1.015,10.0,0.09642499999999998,1.3986952145117342,1.4016676789919535,0.08943956549195282,0.08962963973314045,0.00278589582285835,-0.00297597006404598,1,0.4438349999999999,[0.4438349999999999]
79,7,3,0.0063,1.015,10.0,0.09642499999999998,1.3986952145117342,1.4016676789919535,0.08943956549195282,0.08962963973314045,0.00278589582285835,-0.00297597006404598,1,0.5077799999999999,[0.5077799999999999]
