cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI,shadow_loss,length(leaf_aging),leaf_aging
432,18,0.527095533884504,0.5102169846011273,1.4432925399131795,0.0,0.2,0.005,0.001,0.4956093877888543,0.511440783920693,1.4403193319912388,0.0,0.2,0.005,0.001,-0.03148614609570385,-0.0009862492477201,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002107207108273,0.09642499999999998,1,[1.3929479114291774]
456,19,0.5585816799802079,0.5112032338488474,1.4462657478351202,0.0,0.2,0.005,0.001,0.527095533884504,0.5102169846011273,1.4432925399131795,0.0,0.2,0.005,0.001,-0.03148614609571499,-0.00304697580888208,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002111547991839,0.09642499999999998,1,[1.3929479114291774]
480,20,0.5900678260759229,0.5142502096577295,1.4492389557570609,0.0,0.2,0.005,0.001,0.5585816799802079,0.5112032338488474,1.4462657478351202,0.0,0.2,0.005,0.001,-0.03148614609571729,-0.00496846931030576,-0.00297320792194061,0.0,0.0,0.0,0.0,0.00002115888875405,0.09642499999999998,1,[1.3929479114291774]
504,21,0.6215539721716402,0.5192186789680353,1.4522121636790015,0.0,0.2,0.005,0.001,0.5900678260759229,0.5142502096577295,1.4492389557570609,0.0,0.2,0.005,0.001,-0.03148614609571777,-0.00676013703837638,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002120229758971,0.09642499999999998,1,[1.3929479114291774]
528,22,0.653040118267358,0.5259788160064117,1.4551853716009422,0.0,0.2,0.005,0.001,0.6215539721716402,0.5192186789680353,1.4522121636790015,0.0,0.2,0.005,0.001,-0.03148614609571785,-0.00843075067585733,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002124570642537,0.09642499999999998,1,[1.3929479114291774]
552,23,0.6845262643630758,0.534409566682269,1.4581585795228829,0.0,0.2,0.005,0.001,0.653040118267358,0.5259788160064117,1.4551853716009422,0.0,0.2,0.005,0.001,-0.03148614609571791,-0.00998848924646984,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002128911526103,0.09642499999999998,1,[1.3929479114291774]
576,24,0.7160124104587937,0.5443980559287389,1.4611317874448235,0.0,0.2,0.005,0.001,0.6845262643630758,0.534409566682269,1.4581585795228829,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.01144097915792106,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002133252409669,0.09642499999999998,1,[1.3929479114291774]
600,25,0.7474985565545116,0.55583903508666,1.4641049953667642,0.0,0.2,0.005,0.001,0.7160124104587937,0.5443980559287389,1.4611317874448235,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.01279533153942368,-0.00297320792194061,0.0,0.0,0.0,0.0,0.00002137593293235,0.09642499999999998,1,[1.3929479114291774]
624,26,0.7789847026502295,0.5686343666260837,1.4670782032887049,0.0,0.2,0.005,0.001,0.7474985565545116,0.55583903508666,1.4641049953667642,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.01405817705650488,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002141934176802,0.09642499999999998,1,[1.3929479114291774]
648,27,0.8104708487459473,0.5826925436825886,1.4700514112106455,0.0,0.2,0.005,0.001,0.7789847026502295,0.5686343666260837,1.4670782032887049,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.0152356983735514,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002146275060368,0.09642499999999998,1,[1.3929479114291774]
672,28,0.8419569948416652,0.59792824205614,1.4730246191325862,0.0,0.2,0.005,0.001,0.8104708487459473,0.5826925436825886,1.4700514112106455,0.0,0.2,0.005,0.001,-0.03148614609571791,-0.01633366042302183,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002150615943934,0.09642499999999998,1,[1.3929479114291774]
696,29,0.8734431409373831,0.6142619024791619,1.4759978270545269,0.0,0.2,0.005,0.001,0.8419569948416652,0.59792824205614,1.4730246191325862,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.01735743862951832,-0.00297320792194061,0.0,0.0,0.0,0.0,0.000021549568275,0.09642499999999998,1,[1.3929479114291774]
720,30,0.9049292870331009,0.6316193411086802,1.4789710349764675,0.0,0.2,0.005,0.001,0.8734431409373831,0.6142619024791619,1.4759978270545269,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.01831204522689816,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002159297711066,0.09642499999999998,1,[1.3929479114291774]
744,31,0.9364154331288188,0.6499313863355783,1.4819442428984082,0.0,0.2,0.005,0.001,0.9049292870331009,0.6316193411086802,1.4789710349764675,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.01920215379726873,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002163638594632,0.09642499999999998,1,[1.3929479114291774]
768,32,0.9679015792245367,0.6691335401328471,1.4849174508203489,0.0,0.2,0.005,0.001,0.9364154331288188,0.6499313863355783,1.4819442428984082,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.02003212215200437,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002167979478198,0.09642499999999998,1,[1.3929479114291774]
792,33,0.9993877253202545,0.6891656622848514,1.4878906587422895,0.0,0.2,0.005,0.001,0.9679015792245367,0.6691335401328471,1.4849174508203489,0.0,0.2,0.005,0.001,-0.03148614609571791,-0.02080601366680668,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002172320361764,0.09642499999999998,1,[1.3929479114291774]
816,34,1.0308738714159724,0.7099716759516581,1.4908638666642302,0.0,0.2,0.005,0.001,0.9993877253202545,0.6891656622848514,1.4878906587422895,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.02152761717526062,-0.00297320792194061,0.0,0.0,0.0,0.0,0.0000217666124533,0.09642499999999998,1,[1.3929479114291774]
840,35,1.0623600175116903,0.7314992931269187,1.4938370745861709,0.0,0.2,0.005,0.001,1.0308738714159724,0.7099716759516581,1.4908638666642302,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.02220046551828203,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002181002128896,0.09642499999999998,1,[1.3929479114291774]
864,36,1.0938461636074082,0.7536997586452008,1.4968102825081115,0.0,0.2,0.005,0.001,1.0623600175116903,0.7314992931269187,1.4938370745861709,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.02282785284027083,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002185343012462,0.09642499999999998,1,[1.3929479114291774]
888,37,1.125332309703126,0.7765276114854716,1.4997834904300522,0.0,0.2,0.005,0.001,1.0938461636074082,0.7536997586452008,1.4968102825081115,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.02341285071664929,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002189683896028,0.09642499999999998,1,[1.3929479114291774]
912,38,1.156818455798844,0.7999404622021209,1.5027566983519929,0.0,0.2,0.005,0.001,1.125332309703126,0.7765276114854716,1.4997834904300522,0.0,0.2,0.005,0.001,-0.03148614609571791,-0.02395832319174246,-0.00297320792194061,0.0,0.0,0.0,0.0,0.00002194024779594,0.09642499999999998,1,[1.3929479114291774]
936,39,1.1883046018945618,0.8238987853938633,1.5057299062739335,0.0,0.2,0.005,0.001,1.156818455798844,0.7999404622021209,1.5027566983519929,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.02446694080062378,-0.00297320792194062,0.0,0.0,0.0,0.0,0.0000219836566316,0.09642499999999998,1,[1.3929479114291774]
960,40,1.2197907479902796,0.848365726194487,1.5087031141958742,0.0,0.2,0.005,0.001,1.1883046018945618,0.8238987853938633,1.5057299062739335,0.0,0.2,0.005,0.001,-0.03148614609571788,-0.02494119364357423,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002202706546726,0.09642499999999998,1,[1.3929479114291774]
984,41,1.2512768940859975,0.8733069198380613,1.5116763221178149,0.0,0.2,0.005,0.001,1.2197907479902796,0.848365726194487,1.5087031141958742,0.0,0.2,0.005,0.001,-0.03148614609571791,-0.02538340357716516,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002207047430292,0.09642499999999998,1,[1.3929479114291774]
1008,42,1.2827630401817154,0.8986903234152265,1.5146495300397556,0.0,0.2,0.005,0.001,1.2512768940859975,0.8733069198380613,1.5116763221178149,0.0,0.2,0.005,0.001,-0.03148614609571785,-0.02579573558165021,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002211388313858,0.09642499999999998,1,[1.3929479114291774]
1032,43,1.3142491862774333,0.9244860589968766,1.5176227379616962,0.0,0.2,0.005,0.001,1.2827630401817154,0.8986903234152265,1.5146495300397556,0.0,0.2,0.005,0.001,-0.03148614609571791,-0.02618020836031902,-0.00297320792194061,0.0,0.0,0.0,0.0,0.00002215729197424,0.09642499999999998,1,[1.3929479114291774]
1056,44,1.3457353323731511,0.9506662673571956,1.520595945883637,0.0,0.2,0.005,0.001,1.3142491862774333,0.9244860589968766,1.5176227379616962,0.0,0.2,0.005,0.001,-0.03148614609571785,-0.02653870422270529,-0.00297320792194062,0.0,0.0,0.0,0.0,0.0000222007008099,0.09642499999999998,1,[1.3929479114291774]
1080,45,1.377221478468869,0.9772049715799009,1.5235691538055776,0.0,0.2,0.005,0.001,1.3457353323731511,0.9506662673571956,1.520595945883637,0.0,0.2,0.005,0.001,-0.03148614609571791,-0.02687297830003542,-0.00297320792194062,0.0,0.0,0.0,0.0,0.00002224410964556,0.09642499999999998,1,[1.3929479114291774]
