cycle,L,pi,a,K,gamma,theta,epsilon,mu,v,I,r_growth_la,r_growth_da,r_maintenance,v_photosinthesis,c_max,c_x,U_L,s,delta,dseta,eta,t_l,t_la,t_d,t_da
17,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.003441778504689,0.00000178946363114,0.074752,0.06442820197161132,49169.4642477134,49145.40229249247,-22.862060207458942,-0.00688193553104874,0.00344186249733994,12,0.00000014,12,0.00000007
18,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00344017816047447,0.00000178946363114,0.074752,0.06443300300425489,49146.60218750594,49122.53517814773,-22.867114344740983,-0.0068787348426197,0.00344026215312542,12,0.00000014,12,0.00000007
19,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00343857746247034,0.00000178946363114,0.074752,0.06443780509826728,49123.735073161195,49099.66300384123,-22.872174306495882,-0.00687553344661143,0.00343866145512128,12,0.00000014,12,0.00000007
20,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00343697641026889,0.00000178946363114,0.074752,0.06444260825487165,49100.8628988547,49076.78576373751,-22.877240103716964,-0.00687233134220852,0.00343706040291983,12,0.00000014,12,0.00000007
21,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00343537500346163,0.00000178946363114,0.074752,0.06444741247529343,49077.98565875098,49053.90345199009,-22.882311747426535,-0.006869128528594,0.00343545899611257,12,0.00000014,12,0.00000007
22,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00343377324163931,0.00000178946363114,0.074752,0.06445221776076039,49055.103347003555,49031.016062741415,-22.887389248675927,-0.00686592500494936,0.00343385723429025,12,0.00000014,12,0.00000007
23,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.0034321711243919,0.00000178946363114,0.074752,0.0644570241125026,49032.21595775488,49008.12359012287,-22.892472618545618,-0.00686272077045455,0.00343225511704284,12,0.00000014,12,0.00000007
24,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.0034305686513086,0.00000178946363114,0.074752,0.0644618315317525,49009.32348513634,48985.22602825473,-22.89756186814535,-0.00685951582428795,0.00343065264395954,12,0.00000014,12,0.00000007
25,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00342896582197783,0.00000178946363114,0.074752,0.06446664001974482,48986.425923268194,48962.323371246115,-22.90265700861419,-0.00685631016562641,0.00342904981462877,12,0.00000014,12,0.00000007
26,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00342736263598723,0.00000178946363114,0.074752,0.06447144957771662,48963.52326625958,48939.41561319499,-22.90775805112065,-0.00685310379364521,0.00342744662863817,12,0.00000014,12,0.00000007
