cycle,hour_cyc,stp,value
0,0,1,0.0
24,0,1,0.00000000286641356
48,0,1,-0.14017415138722789
72,0,1,-0.13781151591422286
96,0,1,-0.02217422562231331
120,0,1,0.4363062305723381
144,0,1,0.6323579654515552
168,0,1,0.6569671073376613
192,0,1,0.6489330408647288
216,0,1,0.6486302187531654
240,0,1,0.6486302187531403
264,0,1,0.6486302187531152
288,0,1,0.6486302187531706
312,0,1,0.6486302187532229
336,0,1,0.64863021875327
360,0,1,0.648630218753316
384,0,1,0.6486302187533605
408,0,1,0.6486302187534032
432,0,1,0.6486302187534463
456,0,1,0.6486302187534896
480,0,1,0.648630218753531
504,0,1,0.6486302187535721
528,0,1,0.6486302187536048
552,0,1,0.6486302187536368
576,0,1,0.6486302187536687
600,0,1,0.6486302187536996
624,0,1,0.6486302187537297
648,0,1,0.6486302187537585
672,0,1,0.6486302187537867
696,0,1,0.6486302187538154
720,0,1,0.6486302187538538
744,0,1,0.6486302187539542
768,0,1,0.648630218754363
792,0,1,0.648630218756127
816,0,1,0.6486302187632299
840,0,1,0.6486302187894311
864,0,1,0.6486302188782784
888,0,1,0.6486302191570756
912,0,1,0.6486302199719124
936,0,1,0.6486302222030209
960,0,1,0.6486302279557442
984,0,1,0.6485171184376998
1008,0,1,0.6483485779569874
1032,0,1,0.6481724499112171
1056,0,1,0.6480258201015552
1080,0,1,0.6479346570206448
1104,0,1,0.6479141451430014
1128,0,1,0.6479697301837014
1152,0,1,0.6480987802870333
1176,0,1,0.6482926769544959
1200,0,1,0.6485391013084185
1224,0,1,0.6488242805330541
1248,0,1,0.6491349991099531
1272,0,1,0.6494602440334069
1296,0,1,0.6497924239707983
1320,0,1,0.650128163500324
1344,0,1,0.6504687154864258
1368,0,1,0.6508200546791069
1392,0,1,0.651192716776946
1416,0,1,0.6516014359229122
1440,0,1,0.6520646174193302
1464,0,1,0.6526036680397107
1488,0,1,0.6532421983047232
1512,0,1,0.6540051114517207
1536,0,1,0.6549176018774859
1560,0,1,0.6560040987214685
1584,0,1,0.6572872038556349
1608,0,1,0.6587866835768519
