cycle,i,LVSNi,tab,TEMFAC,FCO2D,RCLFAi
96,14,0.0,0.0032,21.92,24.53633103081795,0.0
96,15,0.0,0.0032,21.92,24.53633103081795,0.0
96,16,0.0,0.0032,21.92,24.53633103081795,0.0
96,17,0.0,0.0032,21.92,24.53633103081795,0.0
96,18,0.0,0.0032,21.92,24.53633103081795,0.0
96,19,0.0,0.0016,21.92,24.53633103081795,0.0
120,0,66.7692483701435,-0.0002,21.92,24.382991842155022,-7.137301223977486
120,1,25.529856593184864,0.00025,21.92,24.382991842155022,3.4112686820357165
120,2,6.156293273903722,0.0007,21.92,24.382991842155022,2.303270174076999
120,3,1.031347832772926,0.00115,21.92,24.382991842155022,0.6339142927480916
120,4,0.09520881725488266,0.0016,21.92,24.382991842155022,0.08141879976358488
120,5,0.0,0.00235,21.92,24.382991842155022,0.0
120,6,0.0,0.0031,21.92,24.382991842155022,0.0
120,7,0.0,0.00315,21.92,24.382991842155022,0.0
120,8,0.0,0.0032,21.92,24.382991842155022,0.0
120,9,0.0,0.0032,21.92,24.382991842155022,0.0
120,10,0.0,0.0032,21.92,24.382991842155022,0.0
120,11,0.0,0.0032,21.92,24.382991842155022,0.0
120,12,0.0,0.0032,21.92,24.382991842155022,0.0
120,13,0.0,0.0032,21.92,24.382991842155022,0.0
120,14,0.0,0.0032,21.92,24.382991842155022,0.0
120,15,0.0,0.0032,21.92,24.382991842155022,0.0
120,16,0.0,0.0032,21.92,24.382991842155022,0.0
120,17,0.0,0.0032,21.92,24.382991842155022,0.0
120,18,0.0,0.0032,21.92,24.382991842155022,0.0
120,19,0.0,0.0016,21.92,24.382991842155022,0.0
144,0,76.21851878157247,-0.0002,21.92,24.297838595455783,-8.118928052015772
144,1,36.48971091536208,0.00025,21.92,24.297838595455783,4.8586836620653715
144,2,11.305046020529623,0.0007,21.92,24.297838595455783,4.2148154879466615
144,3,2.393362475173216,0.00115,21.92,24.297838595455783,1.4659343133598972
144,4,0.3439987919197518,0.0016,21.92,24.297838595455783,0.29314675606128987
144,5,0.02530286510877493,0.00235,21.92,24.297838595455783,0.03166983167859255
144,6,0.0,0.0031,21.92,24.297838595455783,0.0
144,7,0.0,0.00315,21.92,24.297838595455783,0.0
144,8,0.0,0.0032,21.92,24.297838595455783,0.0
144,9,0.0,0.0032,21.92,24.297838595455783,0.0
144,10,0.0,0.0032,21.92,24.297838595455783,0.0
144,11,0.0,0.0032,21.92,24.297838595455783,0.0
144,12,0.0,0.0032,21.92,24.297838595455783,0.0
144,13,0.0,0.0032,21.92,24.297838595455783,0.0
144,14,0.0,0.0032,21.92,24.297838595455783,0.0
144,15,0.0,0.0032,21.92,24.297838595455783,0.0
144,16,0.0,0.0032,21.92,24.297838595455783,0.0
144,17,0.0,0.0032,21.92,24.297838595455783,0.0
