cycle,DTFAST,GENRF,TEMFCF,RDVLVF,RDVFRF,TTHF,TTLF,TTABF,FCO2,TSLAF,CSLAF,GPF,MAINTF
37,14,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.054159518422965,-0.00140877280873094
38,15,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.054159518422965,-0.00140877280873094
39,16,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.054159518422965,-0.00140877280873094
40,17,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.054159518422965,-0.00140877280873094
41,18,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.054159518422965,-0.00140877280873094
42,19,0.5264285714285715,0.9571428571428571,0.011784375,0.01623625,0.0,0.0,0.0,1.0475,1.09,1.5175,1.054159518422965,-0.00140877280873094
43,20,0.506,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.054159518422965,-0.00131708969986007
44,21,0.506,0.9199999999999999,0.0115225,0.01518875,0.0,0.0,0.0,1.0475,1.18,1.5175,1.054159518422965,-0.00131708969986007
45,22,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,1.054159518422965,-0.00131708969986007
46,23,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,1.054159518422965,-0.00131708969986007
47,24,0.506,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,1.054159518422965,-0.00131708969986007
48,1,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.054159518422965,0.00181964185527275
49,2,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.054159518422965,0.00181964185527275
50,3,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.054159518422965,0.00181964185527275
51,4,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.054159518422965,0.00181964185527275
