cycle,DTFAST,GENR,TEMFAC,RDVLV,RDVFR,TTH,TTL,TTAB,FCO2D,TSLA,CSLA,GP,MAINT,GPFN
61,14,6.893857142857144,12.534285714285714,0.15546325000000005,0.20484000000000002,0.0,0.0,0.0,14.474999999999998,16.97,15.175,14.286004425833799,0.02663048330428011,0.7033983909315046
62,15,7.420285714285715,13.491428571428571,0.16724762500000007,0.22107625000000003,0.0,0.0,0.0,15.522499999999997,18.06,16.692500000000003,15.292941061047992,0.02871227433061001,0.7033983909315046
63,16,7.946714285714286,14.448571428571428,0.17903200000000008,0.23731250000000004,0.0,0.0,0.0,16.569999999999997,19.15,18.21,16.299877696262186,0.03079406535693992,0.7033983909315046
64,17,8.473142857142857,15.405714285714286,0.1908163750000001,0.25354875000000004,0.0,0.0,0.0,17.617499999999996,20.24,19.7275,17.30681433147638,0.03287585638326982,0.7033983909315046
65,18,8.999571428571429,16.36285714285714,0.2026007500000001,0.26978500000000005,0.0,0.0,0.0,18.664999999999996,21.33,21.244999999999997,18.313750966690577,0.03495764740959972,0.7033983909315046
66,19,9.526,17.319999999999997,0.21438512500000012,0.28602125000000006,0.0,0.0,0.0,19.712499999999995,22.419999999999998,22.762499999999996,19.320687601904773,0.03703943843592963,0.7033983909315046
67,20,10.032,18.239999999999995,0.2259076250000001,0.3012100000000001,0.0,0.0,0.0,20.759999999999994,23.599999999999998,24.279999999999994,20.327624237118968,0.03898574624443298,0.7034932291839833
68,21,10.538,19.159999999999997,0.2374301250000001,0.3163987500000001,0.0,0.0,0.0,21.807499999999994,24.779999999999998,25.797499999999992,21.334560872333164,0.04093205405293632,0.7034932291839833
69,22,11.044,20.08,0.2484301250000001,0.33089875000000013,0.0,0.0,0.0,22.807499999999994,25.959999999999997,25.797499999999992,22.34149750754736,0.04287836186143967,0.7034932291839833
70,23,11.55,21.0,0.2594301250000001,0.34539875000000014,0.0,0.0,0.0,23.807499999999994,27.139999999999997,25.797499999999992,23.348434142761555,0.04482466966994302,0.7034932291839833
71,24,12.056000000000001,21.92,0.27043012500000013,0.35989875000000016,0.0,0.0,0.0,24.807499999999994,28.319999999999997,25.797499999999992,24.35537077797575,0.04677097747844637,0.7034932291839833
72,1,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,1.0069366352141937,-0.00029960036516992,0.7050653649055545
73,2,0.9460000000000001,1.72,0.0208,0.027,0.0,0.0,0.0,2.0,2.54,0.0,2.0138732704283875,-0.00059920073033983,0.7050653649055545
74,3,1.419,2.58,0.0312,0.0405,0.0,0.0,0.0,3.0,3.81,0.0,3.0208099056425812,-0.00089880109550975,0.7050653649055545
75,4,1.8920000000000001,3.44,0.0416,0.054,0.0,0.0,0.0,4.0,5.08,0.0,4.027746540856775,-0.00119840146067966,0.7050653649055545
76,5,2.365,4.3,0.05232810839532392,0.06792590993623779,0.0,0.0,0.0,5.031548884165762,6.35,1.5175,4.861857338613428,-0.00149800182584958,0.5840872786852757
77,6,2.838,5.16,0.06305621679064784,0.08185181987247557,0.0,0.0,0.0,6.063097768331524,7.619999999999999,3.035,5.69596813637008,-0.0017976021910195,0.5840872786852757
78,7,3.3275,6.05,0.07409378985122149,0.09629350425079623,0.0,0.0,0.0,7.0946466524972855,8.844999999999999,4.5525,6.530078934126733,-0.00210745478904658,0.5840944552482756
79,8,3.817,6.9399999999999995,0.08513136291179514,0.1107351886291169,0.0,0.0,0.0,8.126195536663047,10.069999999999999,6.07,7.3641897318833855,-0.00241730738707366,0.5840944552482756
80,9,4.323,7.859999999999999,0.09647840063761852,0.12569264744952044,0.0,0.0,0.0,9.15774442082881,11.249999999999998,7.5875,8.198300529640038,-0.00273776304623042,0.5841018773910664
81,10,4.829000000000001,8.78,0.1078254383634419,0.14065010626992397,0.0,0.0,0.0,10.189293304994571,12.429999999999998,9.105,9.03241132739669,-0.00305821870538718,0.5841018773910664
82,11,5.335000000000001,9.7,0.11917247608926528,0.15560756509032753,0.0,0.0,0.0,11.220842189160333,13.609999999999998,10.6225,9.866522125153343,-0.00337867436454394,0.5841018773910664
83,12,5.841000000000001,10.62,0.13051951381508864,0.17056502391073108,0.0,0.0,0.0,12.252391073326095,14.789999999999997,12.14,10.700632922909996,-0.0036991300237007,0.5841018773910664
84,13,6.367428571428572,11.577142857142857,0.14212443876195346,0.18655403161530038,0.0,0.0,0.0,13.283939957491857,15.879999999999997,13.6575,11.534743720666649,-0.00404189272169459,0.5841174923182525
85,14,6.893857142857144,12.534285714285714,0.1537293637088183,0.20254303931986967,0.0,0.0,0.0,14.315488841657618,16.97,15.175,12.368854518423301,-0.00438465541968848,0.5841174923182525
86,15,7.420285714285715,13.491428571428571,0.16533428865568311,0.21853204702443896,0.0,0.0,0.0,15.34703772582338,18.06,16.692500000000003,13.202965316179954,-0.00472741811768237,0.5841174923182525
87,16,7.946714285714286,14.448571428571428,0.17693921360254794,0.23452105472900825,0.0,0.0,0.0,16.378586609989142,19.15,18.21,14.037076113936607,-0.00507018081567626,0.5841174923182525
88,17,8.473142857142857,15.405714285714286,0.18854413854941277,0.25051006243357754,0.0,0.0,0.0,17.410135494154904,20.24,19.7275,14.87118691169326,-0.00541294351367015,0.5841174923182525
89,18,8.999571428571429,16.36285714285714,0.2001490634962776,0.26649907013814683,0.0,0.0,0.0,18.441684378320666,21.33,21.244999999999997,15.705297709449912,-0.00575570621166403,0.5841174923182525
90,19,9.526,17.319999999999997,0.21175398844314242,0.2824880778427161,0.0,0.0,0.0,19.473233262486428,22.419999999999998,22.762499999999996,16.539408507206563,-0.00609846890965792,0.5841174923182525
91,20,10.032,18.239999999999995,0.2231010261689658,0.2974455366631197,0.0,0.0,0.0,20.50478214665219,23.599999999999998,24.279999999999994,17.373519304963214,-0.00641892456881468,0.5841018773910664
92,21,10.538,19.159999999999997,0.23444806389478917,0.31240299548352324,0.0,0.0,0.0,21.53633103081795,24.779999999999998,25.797499999999992,18.207630102719865,-0.00673938022797145,0.5841018773910664
93,22,11.044,20.08,0.24544806389478918,0.32690299548352325,0.0,0.0,0.0,22.53633103081795,25.959999999999997,25.797499999999992,19.041740900476515,-0.00705983588712821,0.5841018773910664
94,23,11.55,21.0,0.2564480638947892,0.34140299548352326,0.0,0.0,0.0,23.53633103081795,27.139999999999997,25.797499999999992,19.875851698233166,-0.00738029154628497,0.5841018773910664
95,24,12.056000000000001,21.92,0.2674480638947892,0.3559029954835233,0.0,0.0,0.0,24.53633103081795,28.319999999999997,25.797499999999992,20.709962495989817,-0.00770074720544173,0.5841018773910664
96,1,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.8341107977566525,-0.00114315703583689,0.5846777683547426
97,2,0.9460000000000001,1.72,0.0208,0.027,0.0,0.0,0.0,2.0,2.54,0.0,1.668221595513305,-0.00228631407167378,0.5846777683547426
98,3,1.419,2.58,0.0312,0.0405,0.0,0.0,0.0,3.0,3.81,0.0,2.5023323932699575,-0.00342947110751068,0.5846777683547426
99,4,1.8920000000000001,3.44,0.0416,0.054,0.0,0.0,0.0,4.0,5.08,0.0,3.33644319102661,-0.00457262814334757,0.5846777683547426
100,5,2.365,4.3,0.0522343008916713,0.06780414058053487,0.0,0.0,0.0,5.022528931891472,6.35,1.5175,4.00175102601739,-0.00571578517918446,0.46651569441863167
101,6,2.838,5.16,0.06286860178334261,0.08160828116106975,0.0,0.0,0.0,6.045057863782944,7.619999999999999,3.035,4.66705886100817,-0.00685894221502135,0.46651569441863167
102,7,3.3275,6.05,0.07380966135458136,0.09592368620755035,0.0,0.0,0.0,7.067586795674416,8.844999999999999,4.5525,5.3323666959989495,-0.00804121773496643,0.46654307735750744
103,8,3.817,6.9399999999999995,0.08475072092582012,0.11023909125403095,0.0,0.0,0.0,8.090115727565887,10.069999999999999,6.07,5.9976745309897295,-0.00922349325491151,0.46654307735750744
104,9,4.323,7.859999999999999,0.0959985391766263,0.12506576076645728,0.0,0.0,0.0,9.11264465945736,11.249999999999998,7.5875,6.662982365980509,-0.01044622588152576,0.4665713973321758
105,10,4.829000000000001,8.78,0.10724635742743249,0.13989243027888362,0.0,0.0,0.0,10.135173591348831,12.429999999999998,9.105,7.328290200971289,-0.01166895850814002,0.4665713973321758
106,11,5.335000000000001,9.7,0.11849417567823868,0.15471909979130996,0.0,0.0,0.0,11.157702523240303,13.609999999999998,10.6225,7.993598035962069,-0.01289169113475427,0.4665713973321758
107,12,5.841000000000001,10.62,0.12974199392904487,0.1695457693037363,0.0,0.0,0.0,12.180231455131775,14.789999999999997,12.14,8.658905870952848,-0.01411442376136852,0.4665713973321758
108,13,6.367428571428572,11.577142857142857,0.14124544441282394,0.1853949677480541,0.0,0.0,0.0,13.202760387023247,15.879999999999997,13.6575,9.324213705943627,-0.0154222712655327,0.46663097774646073
109,14,6.893857142857144,12.534285714285714,0.152748894896603,0.20124416619237193,0.0,0.0,0.0,14.225289318914719,16.97,15.175,9.989521540934406,-0.01673011876969687,0.46663097774646073
110,15,7.420285714285715,13.491428571428571,0.16425234538038208,0.21709336463668974,0.0,0.0,0.0,15.24781825080619,18.06,16.692500000000003,10.654829375925186,-0.01803796627386104,0.46663097774646073
111,16,7.946714285714286,14.448571428571428,0.17575579586416115,0.23294256308100755,0.0,0.0,0.0,16.270347182697662,19.15,18.21,11.320137210915965,-0.01934581377802522,0.46663097774646073
112,17,8.473142857142857,15.405714285714286,0.18725924634794022,0.24879176152532537,0.0,0.0,0.0,17.292876114589134,20.24,19.7275,11.985445045906744,-0.02065366128218939,0.46663097774646073
113,18,8.999571428571429,16.36285714285714,0.1987626968317193,0.2646409599696432,0.0,0.0,0.0,18.315405046480606,21.33,21.244999999999997,12.650752880897523,-0.02196150878635356,0.46663097774646073
114,19,9.526,17.319999999999997,0.21026614731549836,0.280490158413961,0.0,0.0,0.0,19.337933978372078,22.419999999999998,22.762499999999996,13.316060715888302,-0.02326935629051774,0.46663097774646073
115,20,10.032,18.239999999999995,0.22151396556630457,0.29531682792638736,0.0,0.0,0.0,20.36046291026355,23.599999999999998,24.279999999999994,13.98136855087908,-0.02449208891713199,0.4665713973321758
116,21,10.538,19.159999999999997,0.23276178381711077,0.3101434974388137,0.0,0.0,0.0,21.382991842155022,24.779999999999998,25.797499999999992,14.64667638586986,-0.02571482154374624,0.4665713973321758
117,22,11.044,20.08,0.24376178381711078,0.3246434974388137,0.0,0.0,0.0,22.382991842155022,25.959999999999997,25.797499999999992,15.311984220860639,-0.0269375541703605,0.4665713973321758
118,23,11.55,21.0,0.2547617838171108,0.3391434974388137,0.0,0.0,0.0,23.382991842155022,27.139999999999997,25.797499999999992,15.977292055851418,-0.02816028679697475,0.4665713973321758
119,24,12.056000000000001,21.92,0.2657617838171108,0.35364349743881374,0.0,0.0,0.0,24.382991842155022,28.319999999999997,25.797499999999992,16.6425998908422,-0.02938301942358901,0.4665713973321758
120,1,0.47300000000000003,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.6653078349907798,0.00894250305589418,0.45945573235441994
121,2,0.9460000000000001,1.72,0.0208,0.027,0.0,0.0,0.0,2.0,2.54,0.0,1.3306156699815597,0.01788500611178837,0.45945573235441994
122,3,1.419,2.58,0.0312,0.0405,0.0,0.0,0.0,3.0,3.81,0.0,1.9959235049723394,0.02682750916768255,0.45945573235441994
123,4,1.8920000000000001,3.44,0.0416,0.054,0.0,0.0,0.0,4.0,5.08,0.0,2.6612313399631193,0.03577001222357674,0.45945573235441994
124,5,2.365,4.3,0.05218220714074942,0.06773651888462665,0.0,0.0,0.0,5.017519917379752,6.35,1.5175,3.2819123894810485,0.04471251527947092,0.42821698252342427
125,6,2.838,5.16,0.06276441428149884,0.0814730377692533,0.0,0.0,0.0,6.035039834759504,7.619999999999999,3.035,3.902593438998977,0.0536550183353651,0.42821698252342427
126,7,3.3275,6.05,0.07365187739746219,0.09571831661256983,0.0,0.0,0.0,7.052559752139255,8.844999999999999,4.5525,4.523274488516906,0.06290353111058303,0.42800277571989764
127,8,3.817,6.9399999999999995,0.08453934051342554,0.10996359545588635,0.0,0.0,0.0,8.070079669519007,10.069999999999999,6.07,5.1439555380348345,0.07215204388580096,0.42800277571989764
128,9,4.323,7.859999999999999,0.09573205960460282,0.12471763425789276,0.0,0.0,0.0,9.08759958689876,11.249999999999998,7.5875,5.764636587552763,0.08171703793933852,0.42778123882507396
129,10,4.829000000000001,8.78,0.1069247786957801,0.13947167305989916,0.0,0.0,0.0,10.105119504278512,12.429999999999998,9.105,6.385317637070692,0.09128203199287607,0.42778123882507396
130,11,5.335000000000001,9.7,0.11811749778695738,0.15422571186190556,0.0,0.0,0.0,11.122639421658265,13.609999999999998,10.6225,7.005998686588621,0.10084702604641363,0.42778123882507396
131,12,5.841000000000001,10.62,0.12931021687813465,0.16897975066391197,0.0,0.0,0.0,12.140159339038018,14.789999999999997,12.14,7.626679736106549,0.11041202009995119,0.42778123882507396
132,13,6.367428571428572,11.577142857142857,0.14075731594865687,0.18475130938329812,0.0,0.0,0.0,13.15767925641777,15.879999999999997,13.6575,8.247360785624478,0.12064283698336355,0.4273151628441616
133,14,6.893857142857144,12.534285714285714,0.15220441501917908,0.20052286810268427,0.0,0.0,0.0,14.175199173797523,16.97,15.175,8.868041835142407,0.1308736538667759,0.4273151628441616
134,15,7.420285714285715,13.491428571428571,0.1636515140897013,0.21629442682207042,0.0,0.0,0.0,15.192719091177276,18.06,16.692500000000003,9.488722884660335,0.14110447075018825,0.4273151628441616
135,16,7.946714285714286,14.448571428571428,0.17509861316022352,0.23206598554145658,0.0,0.0,0.0,16.21023900855703,19.15,18.21,10.109403934178264,0.1513352876336006,0.4273151628441616
136,17,8.473142857142857,15.405714285714286,0.18654571223074573,0.24783754426084273,0.0,0.0,0.0,17.22775892593678,20.24,19.7275,10.730084983696193,0.16156610451701295,0.4273151628441616
137,18,8.999571428571429,16.36285714285714,0.19799281130126795,0.2636091029802289,0.0,0.0,0.0,18.24527884331653,21.33,21.244999999999997,11.350766033214121,0.1717969214004253,0.4273151628441616
138,19,9.526,17.319999999999997,0.20943991037179016,0.27938066169961506,0.0,0.0,0.0,19.26279876069628,22.419999999999998,22.762499999999996,11.97144708273205,0.18202773828383764,0.4273151628441616
139,20,10.032,18.239999999999995,0.22063262946296744,0.2941347005016215,0.0,0.0,0.0,20.280318678076032,23.599999999999998,24.279999999999994,12.592128132249979,0.1915927323373752,0.42778123882507396
140,21,10.538,19.159999999999997,0.23182534855414472,0.3088887393036279,0.0,0.0,0.0,21.297838595455783,24.779999999999998,25.797499999999992,13.212809181767907,0.20115772639091276,0.42778123882507396
141,22,11.044,20.08,0.24282534855414473,0.32338873930362794,0.0,0.0,0.0,22.297838595455783,25.959999999999997,25.797499999999992,13.833490231285836,0.2107227204444503,0.42778123882507396
142,23,11.55,21.0,0.25382534855414474,0.33788873930362795,0.0,0.0,0.0,23.297838595455783,27.139999999999997,25.797499999999992,14.454171280803765,0.22028771449798787,0.42778123882507396
143,24,12.056000000000001,21.92,0.26482534855414475,0.35238873930362796,0.0,0.0,0.0,24.297838595455783,28.319999999999997,25.797499999999992,15.074852330321693,0.22985270855152543,0.42778123882507396
144,1,0.00495939052495158,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.6206810495179289,0.02467916854963115,0.4172013166778084
145,2,0.00991878104990317,1.72,0.0208,0.027,0.0,0.0,0.0,2.0,2.54,0.0,1.2413620990358578,0.04935833709926231,0.4172013166778084
146,3,0.01487817157485475,2.58,0.0312,0.0405,0.0,0.0,0.0,3.0,3.81,0.0,1.8620431485537867,0.07403750564889347,0.4172013166778084
147,4,0.01983756209980633,3.44,0.0416,0.054,0.0,0.0,0.0,4.0,5.08,0.0,2.4827241980717156,0.09871667419852462,0.4172013166778084
148,5,0.02479695262475792,4.3,0.05214906457453224,0.06769349728424859,0.0,0.0,0.0,5.014333132166562,6.35,1.5175,3.065769165115925,0.12339584274815577,0.3908560589462047
149,6,0.0297563431497095,5.16,0.06269812914906449,0.08138699456849717,0.0,0.0,0.0,6.028666264333124,7.619999999999999,3.035,3.648814132160134,0.1480750112977869,0.3908560589462047
150,7,0.03488873566971754,6.05,0.0735514936632467,0.09558765841882905,0.0,0.0,0.0,7.0429993964996855,8.844999999999999,4.5525,4.231859099204343,0.17359869344655388,0.3902648994268096
151,8,0.04002112818972557,6.9399999999999995,0.08440485817742892,0.10978832226916091,0.0,0.0,0.0,8.057332528666247,10.069999999999999,6.07,4.814904066248553,0.19912237559532084,0.3902648994268096
