cycle,int(cycle / 24),length(leaf_proportion),sum(leaf_proportion),leaf_proportion,,,,,,,,,
90,3,4,0.097852398,0.092330614,0.005412145,0.000108903,7.35831E-07,,,,,,
91,3,4,0.097852398,0.092330614,0.005412145,0.000108903,7.35831E-07,,,,,,
92,3,4,0.097852398,0.092330614,0.005412145,0.000108903,7.35831E-07,,,,,,
93,3,4,0.097852398,0.092330614,0.005412145,0.000108903,7.35831E-07,,,,,,
94,3,4,0.097852398,0.092330614,0.005412145,0.000108903,7.35831E-07,,,,,,
95,3,4,0.097852398,0.092330614,0.005412145,0.000108903,7.35831E-07,,,,,,
96,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
97,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
98,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
99,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
100,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
101,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
102,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
103,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
104,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
105,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
106,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
107,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
108,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
109,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
110,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
111,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
112,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
113,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
114,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
115,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
116,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
117,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
118,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
119,4,5,0.099938074,0.092569678,0.007150514,0.000214968,2.89917E-06,1.47166E-08,,,,,
120,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
121,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
122,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
123,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
124,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
125,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
126,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
127,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
128,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
129,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
130,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
131,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
132,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
133,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
134,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
135,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
136,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
137,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
138,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
139,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
140,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
141,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
142,5,6,0.102068233,0.092848444,0.008858898,0.000353679,7.14054E-06,7.24057E-08,2.94332E-10,,,,
