cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L'
0,0,-0.02278539165714183,0.13561173007102367,0.5,1.0,0.00137981397252126,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00413944191756379,0.12417773827102366,0.0114339918,0.0,0.0,0.0057169959,0.06208886913551183,-0.025,0.126,-0.02,0.0,0.00571699590000008,0.06208886913551183,0.00068990698626063
1,1,-0.02278539165714183,0.13561173007102367,-0.16801932727507035,1.0,0.00137981397252126,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00413944191756379,0.12417773827102366,0.0114339918,0.0,-0.0,-0.00192113161030467,-0.02086426004683715,-0.025,0.126,-0.02,0.0,-0.00192113161030472,-0.02086426004683715,-0.00023183541542777
2,2,-0.02278539165714183,0.13561173007102367,-0.16801932727507035,1.0,0.00137981397252126,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00413944191756379,0.12417773827102366,0.0114339918,0.0,-0.0,-0.00192113161030467,-0.02086426004683715,-0.025,0.126,-0.02,0.0,-0.00192113161030472,-0.02086426004683715,-0.00023183541542777
3,3,-0.02278539165714183,0.13561173007102367,-0.16801932727507035,1.0,0.00137981397252126,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00413944191756379,0.12417773827102366,0.0114339918,0.0,-0.0,-0.00192113161030467,-0.02086426004683715,-0.025,0.126,-0.02,0.0,-0.00192113161030472,-0.02086426004683715,-0.00023183541542777
4,4,0.24083466043078797,0.44842455321258684,-0.16801932727507035,1.0,0.00140051118210908,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00420153354632725,0.41061600478048527,0.03780854843210156,0.0,-0.0,-0.00635256687280862,-0.06899142489159421,-0.025,0.12788999999999998,-0.02,0.0,-0.00635256687280861,-0.06899142489159421,-0.00023531294665918
5,5,0.24083466043078797,0.44842455321258684,0.5370684069491938,1.0,0.00140051118210908,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00420153354632725,0.41061600478048527,0.03780854843210156,0.0,0.0,0.02030577687549022,0.22052888355529776,-0.025,0.12788999999999998,-0.02,0.0,0.02030577687549018,0.22052888355529776,0.00075217030948986
6,6,0.2400549512976624,0.4231821114754545,0.5370684069491938,1.0,0.00140051118210908,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00420153354632725,0.3875018588160209,0.0356802526594336,0.0,0.0,0.01916273645534674,0.20811500600417174,-0.025,0.12788999999999998,-0.02,0.0,0.01916273645534683,0.20811500600417174,0.00075217030948986
7,7,0.2400549512976624,0.4231821114754545,0.5672615755441405,1.0,0.00140051118210908,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00420153354632725,0.3875018588160209,0.0356802526594336,0.0,0.0,0.02024003633940331,0.21981491495825908,-0.025,0.12788999999999998,-0.02,0.0,0.0202400363394033,0.21981491495825908,0.00079445617973038
8,8,0.2392485607564915,0.39793966973832207,0.5672615755441405,1.0,0.00140051118210908,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00420153354632725,0.36438771285155647,0.03355195688676563,0.0,0.0,0.01903273592617574,0.20670314810109977,-0.025,0.12788999999999998,-0.02,0.0,0.01903273592617571,0.20670314810109977,0.00079445617973038
9,9,0.2392485607564915,0.39793966973832207,0.6012181718746891,1.0,0.00140051118210908,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00420153354632725,0.36438771285155647,0.03355195688676563,0.0,0.0,0.02017204618227961,0.21907651457421193,-0.025,0.12788999999999998,-0.02,0.0,0.02017204618227963,0.21907651457421193,0.00084201277259768
10,10,0.2392485607564915,0.39793966973832207,0.6012181718746891,1.0,0.00140051118210908,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00420153354632725,0.36438771285155647,0.03355195688676563,0.0,0.0,0.02017204618227961,0.21907651457421193,-0.025,0.12788999999999998,-0.02,0.0,0.02017204618227963,0.21907651457421193,0.00084201277259768
11,11,0.2392485607564915,0.39793966973832207,0.6012181718746891,1.0,0.00140051118210908,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00420153354632725,0.36438771285155647,0.03355195688676563,0.0,0.0,0.02017204618227961,0.21907651457421193,-0.025,0.12788999999999998,-0.02,0.0,0.02017204618227963,0.21907651457421193,0.00084201277259768
12,12,0.23755205208792984,0.34745478626405735,0.6012181718746891,1.0,0.00140051118210908,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00420153354632725,0.31815942092262767,0.02929536534142969,0.0,0.0,0.01761290599497549,0.19128322541181192,-0.025,0.19284999999999997,-0.02,0.0,0.01761290599497545,0.19128322541181192,0.00084201277259768
13,13,0.23755205208792984,0.34745478626405735,0.6836919837604308,1.0,0.00140051118210908,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00420153354632725,0.31815942092262767,0.02929536534142969,0.0,0.0,0.02002900644526864,0.21752304564266123,-0.025,0.19284999999999997,-0.02,0.0,0.02002900644526862,0.21752304564266123,0.00095751826837482
14,14,0.23755205208792984,0.34745478626405735,0.6836919837604308,1.0,0.00140051118210908,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00420153354632725,0.31815942092262767,0.02929536534142969,0.0,0.0,0.02002900644526864,0.21752304564266123,-0.025,0.19284999999999997,-0.02,0.0,0.02002900644526862,0.21752304564266123,0.00095751826837482
15,15,0.23755205208792984,0.34745478626405735,0.6836919837604308,1.0,0.00140051118210908,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00420153354632725,0.31815942092262767,0.02929536534142969,0.0,0.0,0.02002900644526864,0.21752304564266123,-0.025,0.19284999999999997,-0.02,0.0,0.02002900644526862,0.21752304564266123,0.00095751826837482
16,16,0.23755205208792984,0.34745478626405735,0.6836919837604308,1.0,0.00140051118210908,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00420153354632725,0.31815942092262767,0.02929536534142969,0.0,0.0,0.02002900644526864,0.21752304564266123,-0.025,0.19284999999999997,-0.02,0.0,0.02002900644526862,0.21752304564266123,0.00095751826837482
17,17,0.23755205208792984,0.34745478626405735,0.6836919837604308,1.0,0.00140051118210908,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00420153354632725,0.31815942092262767,0.02929536534142969,0.0,0.0,0.02002900644526864,0.21752304564266123,-0.025,0.19284999999999997,-0.02,0.0,0.02002900644526862,0.21752304564266123,0.00095751826837482
18,18,0.23755205208792984,0.34745478626405735,0.6836919837604308,1.0,0.00140051118210908,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00420153354632725,0.31815942092262767,0.02929536534142969,0.0,0.0,0.02002900644526864,0.21752304564266123,-0.025,0.19284999999999997,-0.02,0.0,0.02002900644526862,0.21752304564266123,0.00095751826837482
19,19,0.2392485607564915,0.39793966973832207,0.6836919837604308,1.0,0.00140051118210908,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00420153354632725,0.36438771285155647,0.03355195688676563,0.0,0.0,0.02293920396295724,0.24912895825740689,-0.025,0.12788999999999998,-0.02,0.0,0.02293920396295723,0.2491289582574069,0.00095751826837482
20,20,0.2392485607564915,0.39793966973832207,0.6012181718746891,1.0,0.00140051118210908,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00420153354632725,0.36438771285155647,0.03355195688676563,0.0,0.0,0.02017204618227961,0.21907651457421193,-0.025,0.12788999999999998,-0.02,0.0,0.02017204618227963,0.21907651457421193,0.00084201277259768
21,21,-0.02437149133143832,0.12034418430143823,0.6012181718746891,1.0,0.00137981397252126,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00413944191756379,0.11019746310143823,0.0101467212,0.0,0.0,0.00610039317038615,0.0662527173110752,-0.025,0.126,-0.02,0.0,0.00610039317038624,0.0662527173110752,0.00082956923408639
22,22,-0.02437149133143832,0.12034418430143823,-0.20251490732940267,1.0,0.00137981397252126,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00413944191756379,0.11019746310143823,0.0101467212,0.0,-0.0,-0.00205486230351529,-0.02231662902792303,-0.025,0.126,-0.02,0.0,-0.00205486230351526,-0.02231662902792303,-0.00027943289877696
23,23,-0.02437149133143832,0.12034418430143823,-0.20251490732940267,1.0,0.00137981397252126,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00413944191756379,0.11019746310143823,0.0101467212,0.0,-0.0,-0.00205486230351529,-0.02231662902792303,-0.025,0.126,-0.02,0.0,-0.00205486230351526,-0.02231662902792303,-0.00027943289877696
24,0,-0.02313611627309264,0.13527651630422366,-0.20251490732940267,1.0,0.00138751397252126,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00416254191756379,0.12487070747102365,0.0099933088332,0.0004125,-0.00008353739927338,-0.0020237940122696,-0.0252881797516513,-0.03015,0.12285,-0.02252000000000002,-0.00008353739927338,-0.00407865631578486,-0.0281000750091696,-0.0002809922635634
25,1,-0.02313611627309264,0.13527651630422366,-0.17102832705317292,1.0,0.00138751397252126,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00416254191756379,0.12487070747102365,0.0099933088332,0.0004125,-0.00007054918490943,-0.00170913889146789,-0.02135642819671531,-0.03015,0.12285,-0.02252000000000002,-0.00007054918490943,-0.0037640011949831,-0.02416832345423361,-0.00023730419348321
26,2,-0.02313611627309264,0.13527651630422366,-0.17102832705317292,1.0,0.00138751397252126,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00416254191756379,0.12487070747102365,0.0099933088332,0.0004125,-0.00007054918490943,-0.00170913889146789,-0.02135642819671531,-0.03015,0.12285,-0.02252000000000002,-0.00007054918490943,-0.0037640011949831,-0.02416832345423361,-0.00023730419348321
27,3,-0.02313611627309264,0.13527651630422366,-0.17102832705317292,1.0,0.00138751397252126,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00416254191756379,0.12487070747102365,0.0099933088332,0.0004125,-0.00007054918490943,-0.00170913889146789,-0.02135642819671531,-0.03015,0.12285,-0.02252000000000002,-0.00007054918490943,-0.0037640011949831,-0.02416832345423361,-0.00023730419348321
28,4,0.24048393581483715,0.4463707907878452,-0.17102832705317292,1.0,0.00140832668210908,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00422498004632725,0.4129074319581884,0.03304467132965677,0.0004186875,-0.00007160742268308,-0.00565157485553314,-0.07061886731563079,-0.03022725,0.12469274999999998,-0.0225578,-0.00007160742268308,-0.00773726009360121,-0.07347294100201186,-0.00024086375638546
29,5,0.24048393581483715,0.4463707907878452,0.5387537463873534,1.0,0.00140832668210908,1.015,0.0063,0.0103,0.55,0.279125,0.01524608128067083,0.00422498004632725,0.4129074319581884,0.03304467132965677,0.0004186875,0.00022556945919056,0.01780294047699135,0.22245542587865522,-0.03022725,0.12469274999999998,-0.0225578,0.00022556945919056,0.01571725523892331,0.21960135219227414,0.00075874127612354
30,6,0.23969222499263015,0.4212675266954831,0.5387537463873534,1.0,0.00140832668210908,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00422498004632725,0.38966429837113814,0.03118454082434497,0.0004186875,0.00022556945919056,0.01680078819848522,0.20993310058085016,-0.03022725,0.12469274999999998,-0.0225578,0.00022556945919056,0.01471510296041734,0.20707902689446908,0.00075874127612354
31,7,0.23969222499263015,0.4212675266954831,0.568978641370318,1.0,0.00140832668210908,1.015,0.0063,0.0103,0.55,0.279125,0.01615549665530733,0.00422498004632725,0.38966429837113814,0.03118454082434497,0.0004186875,0.00023822424490873,0.01774333766999302,0.22171066307772838,-0.03022725,0.12469274999999998,-0.0225578,0.00023822424490873,0.01565765243192496,0.2188565893913473,0.00080130780219199
