1,1,FF[+X]F[-X]E
2,2,FF[+X]F[-X]F[+X]F[-X]E
3,3,FF[+X]F[-X]F[+X]F[-X]F[+X]F[-X]E
4,4,FF[+X]F[-X]F[+X]F[-X]F[+X]F[-X]F[+X]F[-X]E
5,5,FF[+f[+X]f[-X]Fe]F[-f[+X]f[-X]Fe]F[+f[+X]f[-X]Fe]F[-f[+X]f[-X]Fe]F[+f[+X]f[-X]Fe]F[-f[+X]f[-X]Fe]F[+f[+X]f[-X]Fe]F[-f[+X]f[-X]Fe]F[+X]F[-X]E
6,6,FF[+f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]Fe]F[-f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]Fe]F[+f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]Fe]F[-f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]Fe]F[+f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]Fe]F[-f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]Fe]F[+f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]Fe]F[-f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]Fe]F[+f[+x]f[-x]fx]F[-f[+x]f[-x]fx][+x]f[-x]fx
7,7,FGFG[+f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]FGe]FG[-f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]FGe]FG[+f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]FGe]FG[-f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]FGe]FG[+f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]FGe]FG[-f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]FGe]FG[+f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]FGe]FG[-f[+f[+x]f[-x]fx]f[-f[+x]f[-x]fx]FGe]FG[+f[+x]f[-x]fx]FG[-f[+x]f[-x]fx][+x]f[-x]fx
