day,mililiter,liter
0,0,0
1,570,0.57
2,570,0.57
3,570,0.57
4,570,0.57
5,570,0.57
6,570,0.57
7,570,0.57
8,570,0.57
9,570,0.57
10,570,0.57
11,570,0.57
12,570,0.57
13,570,0.57
14,570,0.57
15,570,0.57
16,570,0.57
17,570,0.57
18,570,0.57
19,570,0.57
20,570,0.57
21,570,0.57
22,570,0.57
23,570,0.57
24,570,0.57
25,570,0.57
26,920,0.92
27,920,0.92
28,920,0.92
29,920,0.92
30,920,0.92
31,920,0.92
32,920,0.92
33,920,0.92
34,920,0.92
35,920,0.92
36,920,0.92
37,920,0.92
38,920,0.92
39,920,0.92
40,920,0.92
41,920,0.92
42,920,0.92
43,920,0.92
44,920,0.92
45,920,0.92
46,920,0.92
47,920,0.92
48,920,0.92
49,920,0.92
50,920,0.92
51,920,0.92
52,920,0.92
53,920,0.92
54,920,0.92
55,920,0.92
56,920,0.92
57,1000,1
58,1000,1
59,1000,1
60,1000,1
61,1000,1
62,1000,1
63,1000,1
64,1000,1
65,1000,1
66,1000,1
67,1000,1
68,1000,1
69,1000,1
70,1000,1
71,1000,1
72,1000,1
73,1000,1
74,1000,1
75,1000,1
76,1000,1
77,1000,1
78,1000,1
79,1000,1
80,1000,1
81,1000,1
82,1000,1
83,1000,1
84,1000,1
85,1000,1
86,1000,1
87,1000,1
88,1000,1
89,1000,1
90,1000,1
91,1000,1
92,1000,1
93,1000,1
94,1000,1
95,1000,1
