cycle,name,size,age_class,parent.name,parent.is_main_stem,parent.level
1014,fruit1,0.22252093395631437,21,stem8,false,3.4000000000000004
1014,fruit2,0.22252093395631437,21,stem8,false,3.4000000000000004
1015,fruit1,0.25881904510252074,24,stem8,false,3.4000000000000004
1015,fruit2,0.25881904510252074,24,stem8,false,3.4000000000000004
1016,fruit1,0.2947551744109042,27,stem8,false,3.4000000000000004
1016,fruit2,0.2947551744109042,27,stem8,false,3.4000000000000004
1017,fruit1,0.3302790619551671,30,stem8,false,3.4000000000000004
1017,fruit2,0.3302790619551671,30,stem8,false,3.4000000000000004
1018,fruit1,0.365341024366395,33,stem8,false,3.4000000000000004
1018,fruit2,0.365341024366395,33,stem8,false,3.4000000000000004
1019,fruit1,0.39989202431974097,36,stem8,false,3.4000000000000004
1019,fruit2,0.39989202431974097,36,stem8,false,3.4000000000000004
1020,fruit1,0.43388373911755806,39,stem8,false,3.4000000000000004
1020,fruit2,0.43388373911755806,39,stem8,false,3.4000000000000004
1020,fruit3,0.0,5,stem15,false,5.1
1020,fruit4,0.0,5,stem15,false,5.1
1020,fruit5,0.0,5,stem15,false,5.1
1021,fruit1,0.467268628273062,42,stem8,false,3.4000000000000004
1021,fruit2,0.467268628273062,42,stem8,false,3.4000000000000004
1021,fruit3,0.03739119427632562,10,stem15,false,5.1
1021,fruit4,0.03739119427632562,10,stem15,false,5.1
1021,fruit5,0.03739119427632562,10,stem15,false,5.1
1022,fruit1,0.49999999999999994,45,stem8,false,3.4000000000000004
1022,fruit2,0.49999999999999994,45,stem8,false,3.4000000000000004
1022,fruit3,0.07473009358642425,15,stem15,false,5.1
1022,fruit4,0.07473009358642425,15,stem15,false,5.1
1022,fruit5,0.07473009358642425,15,stem15,false,5.1
1023,fruit1,0.5320320765153367,48,stem8,false,3.4000000000000004
1023,fruit2,0.5320320765153367,48,stem8,false,3.4000000000000004
1023,fruit3,0.11196447610330784,20,stem15,false,5.1
1023,fruit4,0.11196447610330784,20,stem15,false,5.1
1023,fruit5,0.11196447610330784,20,stem15,false,5.1
1023,fruit6,0.0,4,stem16,false,4.1
1023,fruit7,0.0,4,stem16,false,4.1
1023,fruit8,0.0,4,stem17,false,4.8
1024,fruit1,0.5633200580636221,51,stem8,false,3.4000000000000004
1024,fruit2,0.5633200580636221,51,stem8,false,3.4000000000000004
1024,fruit3,0.14904226617617444,25,stem15,false,5.1
1024,fruit4,0.14904226617617444,25,stem15,false,5.1
1024,fruit5,0.14904226617617444,25,stem15,false,5.1
1024,fruit6,0.03739119427632562,8,stem16,false,4.1
1024,fruit7,0.03739119427632562,8,stem16,false,4.1
1024,fruit8,0.03739119427632562,8,stem17,false,4.8
1025,fruit1,0.5938201855735017,54,stem8,false,3.4000000000000004
1025,fruit2,0.5938201855735017,54,stem8,false,3.4000000000000004
1025,fruit3,0.18591160716291458,30,stem15,false,5.1
1025,fruit4,0.18591160716291458,30,stem15,false,5.1
1025,fruit5,0.18591160716291458,30,stem15,false,5.1
1025,fruit6,0.07473009358642425,12,stem16,false,4.1
1025,fruit7,0.07473009358642425,12,stem16,false,4.1
1025,fruit8,0.07473009358642425,12,stem17,false,4.8
1026,fruit1,0.6234898018587335,57,stem8,false,3.4000000000000004
1026,fruit2,0.6234898018587335,57,stem8,false,3.4000000000000004
1026,fruit3,0.22252093395631437,35,stem15,false,5.1
1026,fruit4,0.22252093395631437,35,stem15,false,5.1
1026,fruit5,0.22252093395631437,35,stem15,false,5.1
1026,fruit6,0.11196447610330784,16,stem16,false,4.1
1026,fruit7,0.11196447610330784,16,stem16,false,4.1
1026,fruit8,0.11196447610330784,16,stem17,false,4.8
1027,fruit1,0.6522874112781212,60,stem8,false,3.4000000000000004
1027,fruit2,0.6522874112781212,60,stem8,false,3.4000000000000004
1027,fruit3,0.25881904510252074,40,stem15,false,5.1
1027,fruit4,0.25881904510252074,40,stem15,false,5.1
